TCP,document_id,estc_id,tcp_author,ecco_author,tcp_title,ecco_title,tcp_year,ecco_year,tcp_pages,ecco_pages,tcp_volume_number,tcp_total_volumes,ecco_volume_number,ecco_total_volumes,author_score,title_score,year_score,pages_score,match_score,volume_match_found,correct
K098413.000,827000400,T124120,"Brown, John, 1722-1787.","Brown, John","A brief view of the figures: and explication of the metaphors, contained in scripture. By John Brown, ...","An essay towards an easy, plain, practical, and extensive explication of the Assembly's shorter catechism. By Mr. John Brown, Minister of the Gospel at Haddington.",1782,1781,424,388,1,1,1,1,100,26.357,98,91.509,66.136,TRUE,N
K036286.000,396101600,T053306,"Wakefield, Gilbert, 1756-1801.",Gilbert Wakefield,"An examination of The age of reason: or an investigation of true and fabulous theology, by Thomas Pain: by Gilbert Wakefield, ...","A reply to Thomas Paine's second part of The age of reason. By Gilbert Wakefield, B. A.",1794,1795,63,66,1,1,1,1,52.941,62.366,98,95.455,66.067,TRUE,Y
K108273.000,1083401500,T137106,"Sharp, Granville, 1735-1813.",Granville Sharp,The law of passive obedience: or Christian submission to personal injuries: ... By Granville Sharp.,"The law of passive obedience, or Christian submission to personal injuries: Wherein is shewn, that the several texts of scripture, which command the entire submission of servants or slaves to their masters, cannot authorize the latter to exact an involuntary servitude, nor, in the least degree, justify the claims of modern Slaveholders. By Granville Sharp.",1776,1776,106,106,1,1,1,1,60,55.446,100,100,65.95,TRUE,Y
K050262.000,40200800,T056856,"Defoe, Daniel, 1661?-1731.",Daniel Defoe,The advantages of peace and commerce: with some remarks on the East India trade.,The advantages of peace and commerce; with some remarks on the East-India trade.,1729,1729,40,40,1,1,1,1,50,63.158,100,100,65.921,TRUE,Y
K022555.000,1205801400,T004686,"Colman, George, 1762-1836.",George Colman the Younger,"New hay at the old market: an occassional drama, in one act: written by George Colman, (the younger, ) on opening the Hay-Market Theater. On the 9th of June, 1795.","New hay at the old market; an occassional drama, in one act: written by George Colman, (the younger, ) on opening the Hay-Market Theatre. On the 9th of June, 1795.",1795,1795,31,31,1,1,1,1,52.632,60.976,100,100,65.86,TRUE,Y
K047375.000,1182701800,T052354,"Holman, J. G. (Joseph George), 1764-1817.","Holman, Joseph George","What a blunder!: A comic opera, in three acts: first performed at the Theater Royal, Haymarket, August 14, 1800. By Joseph George Holman, ...","What a blunder! A comic opera, in three acts: first performed at the Theatre Royal, Haymarket, August 14, 1800. By Joseph George Holman, author of ""abroad and at home,"" ""votary of wealth,"" &c.",1800,1800,62,63,1,1,1,1,66.667,50,100,98.413,65.754,TRUE,Y
K046226.000,28100800,T050176,"Burke, Edmund, 1729-1797.",Edmund Burke,"Thoughts and details on scarcity: originally presented to the Right Hon. William Pit, in the month of November, 1795. By the late ... Edmund Burke.","Thoughts and details on scarcity, originally presented to the Right Hon. William Pitt, in the month of November, 1795. By the late right honourable Edmund Burke.",1800,1800,64,64,1,1,1,1,50,62.745,100,100,65.735,TRUE,Y
K080847.000,54701700,T100458,"Morton, Thomas, 1764-1838.",Thomas Morton,"Secrets worth knowing: a comedy, in five acts. As performed at the Theater Royal, Covent Garden. By Thomas Morton, ...","Secrets worth knowing; a comedy, in five acts. As performed at the Theatre Royal, Covent Garden. By Thomas Morton, Esq. Author of Columbus, Children in the Wood, Cure for the Heart Ache, &c. &c.",1798,1798,78,78,1,1,1,1,46.154,65.625,100,100,65.685,TRUE,Y
K019770.001,906500201,P006308,"Hogarth, William, ill. 1697-1764,; Harrison & Co.,",Harrison & Co.,"The comic magazine; or, Complete library: of mirth, humor, wit, gaiety, and entertainment. By the greatest wits of all ages & nations. Enriched with Hogarth's celebrated ... prints.","The comick magazine; or, Compleat library of mirth, humour, wit, gaiety, and entertainment. By the greatest wits of all ages & nations. Enriched with Hogarth's celebrated ... prints.",1797,1797,269,269,1,1,1,1,52.381,60.656,100,100,65.628,TRUE,Y
K020305.000,43801700,T000789,"Brown, John, 1715-1766.",John Brown,"Thoughts on civil liberty: on licentiousness, and faction. By the author of Essays on the characteristics, &c.","Thoughts on civil liberty, on licentiousness, and faction. By the author of Essays on the characteristics, &c.",1765,1765,169,169,1,1,1,1,50,62.5,100,100,65.625,TRUE,Y
