PassageID,Title,Author,Total termFreq,Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors
0209000200_000108,"A treatise concerning the causes of the present corruption of Christians, and the remedies thereof. In two parts. Part I.",Jean-Frédéric Osterwald,49,1711,1,1,"London : printed for D. Midwinter at the Three Crowns, and B. Cowse at the Rose and Crown in St. Pauls Church-Yard, M.DCC.XI. [1711].",London,486,male,1663,1747,False
0343200102_000018,"Religion considered as the only basis of happiness, and of true philosophy. A work written for the instruction of the children of his Most Serene Highness the Duke of Orleans; And in which the Principles of modern pretended Philosophers are laid open and refuted. By Madame the Marchioness of Sillery, heretofore countess of genlis. In two volumes. ...",Stéphanie Félicité du Crest de Saint-Aubin,50,1787,2,2,"London : printed for T. Payne and Son, at the Mews Gate; T. Cadell, and P. Elmsly, in the Strand, M.DCC.LXXXVII. [1787].",London,295,female,1746,1830,True
1212600602_000112,"An inquiry into the nature and causes of the wealth of nations. By Adam Smith, L. L. D. and F. R. S. of London and Edinburgh: One of the Commissioners of His Majesty's Customs in Scotland; and Formerly Professor of Moral Philosophy in the University of Glasgow.",Adam Smith,76,1793,2,2,"Dublin : printed by William Porter, for G. Burnet, L. White, W. Wilson, P. Byrne, W. McKenzie, J. Moore, and W. Jones, M.DCC.XCIII. [1793].",Dublin,559,male,1723,1790,True
0359100401_000068,"Discourses concerning the being and natural perfections of God, in which that first principle of religion, the existence of the deity, is proved, From the Frame of the Material World, from the Animal and Rational Life, and from Human Intelligence and Morality. And The Divine Attributes of Spirituality, Unity, Eternity, Immensity, Omnipotence, Omniscience, and Infinite Wisdom, are explain'd. By John Abernethy, M. A. ...",John Abernethy,61,1757,1,2,"London : printed for H. Whitridge, D. Browne, J. Whiston and B. White, J. Ward, W. Johnston, P. Davey and B. Law, and M. and T. Longman, M.DCC.LVII. [1757].",London,382,male,1680,1740,False
0983000100_000009,"Letters to a student in the University of Cambridge, Massachusetts. By John Clarke, Minister of a church in Boston.",John Clarke,58,1796,1,1,"Boston : Printed and sold by Samuel Hall, no. 53, Cornhill, 1796.",Boston,151,male,1687,1798,False
0080601500_000003,"An essay on the literary beauties of the scriptures. By Thomas Lloyd, Scholar Of King's College, Cambridge. Published In Compliance With The Will Of The Late MR. Norris, AS Having Gained The Annual Prize Which HE Instituted In That University.",Thomas Lloyd,42,1784,1,1,"Cambridge : printed by J. Archdeacon Printer to the University; and sold by J. & J. Merrill, in Cambridge, MDCCLXXXIV. [1784].",Cambridge,25,male,1750,1828,False
0781300301_000034,"An ecclesiastical history, antient and modern, from the birth of Christ, to the beginning of the present century: ... By the late learned John Lawrence Mosheim, ... Translated from the original Latin, ... by Archibald Maclaine, D.D. In six volumes. ... A new edition. ...",Johann Lorenz von Mosheim,49,1782,1,6,"London : printed for T. Cadell, 1782.",London,460,male,1693,1755,False
0215900203_000078,"Observations on man, his frame, his duty, and his expectations. In two parts. Part the First: Containing Observations on the Frame of the Human Body and Mind, and on Their Mutual Connexions And Influences. By David Hartley, M.A.",David Hartley,54,1791,3,3,"London : first printed in MDCCXLIX. Reprinted by J. Johnson, St. Paul's Church-Yard, MDCCXCI. [1791].",London,351,male,1705,1757,True
1293000201_000040,"Memoirs of literature. Containing a weekly account of the state of learning, both at home and abroad.","La Roche, Michel de",43,1622,1,4,"London [England] : printed by J[ames]. Roberts: and sold by A[nn]. Baldwin, near the Oxford-Arms in Warwick-Lane, MDCCXII.-MDCCXIV.",London,393,male,1710,1731,False
1196300101_000078,"The elements of universal erudition. Containing an analytical abridgment of the sciences, polite arts, and belles lettres. By Baron Bielfeld, Secretary of Lecation to the King of Prussia. Preceptor to Prince Ferdinand, and Chancellor of all the Universities in the Dominions of his Prussian Majesty, Author of the Political Institutes, &c. Translated from the last edition printed at Berlin. By W. Hooper, M.D. In three volumes. ...","Bielfeld, Jacob Friedrich, Freiherr von",66,1771,1,3,"Dublin : printed for H. Saunders, J. Potts, D. Chamberlaine, W. Sleater, J. Hoey, jun. J. Williams, R. Moncrieffe, J. Porter, and T. Walker, MDCCLXXI. [1771].",Dublin,326,male,1717,1770,False
1138100100_000017,"An analysis of the philosophical works of Lord Bolingbroke, by the late unfortunate Earl Ferrers, for his private entertainment; to which is prefixed, a parallel of Earl Ferrers's case, with that of Lord Santry, a Peer of Ireland, both convicted of Murder: and a sentimental letter to a friend.","Ferrers, Lawrence Shirley, Earl",68,1760,1,1,"London : printed for J. Burd, opposite St. Dunstan's Church, Fleet-Street, MDCCLX. [1760].",London,110,male,1720,1760,False
0169300300_000003,"A discourse delivered before the University of Cambridge, at St. Mary's on Commencement Sunday, July 4. 1756. By John Ross, D.D. and Fellow of S. John's College.","Ross, John",50,1756,1,1,"Cambridge : printed by J. Bentham Printer to the University, for W. Thurlbourn in Cambridge; and sold by J. Beecroft in Paternoster-Row, London, M.DCC.LVI. [1756].",Cambridge,17,male,1719,1792,False
0991400104_000077,"The works of the late Right Honorable Henry St. John, Lord Viscount Bolingbroke. In five volumes, complete. Published by David Mallet, ...","Henry St John, 1st Viscount Bolingbroke",45,1754,4,5,"London : printed in the year, 1754.",London,634,male,1678,1751,True
1439300400_000062,Of the importance of religious opinions. Translated from the French of Mr. Necker.,"West, John",58,1796,1,1,"Boston : From the press of Thomas Hall: sold by Thomas and Andrews, William P. Blake, David West, and John West, 1796.",Boston,232,male,1770,1827,False
1172701000_000004,"The travels of Cyrus. To which is annex'd, A discourse upon the theology and mythology of the pagans. By the Chevalier Ramsay.",Andrew Michael Ramsay,63,1739,1,1,"London : printed by James Bettenham: and sold by A. Bettesworth and C. Hitch, at the Red Lion in Pater-Noster Row, M,DCC,XXXIX. [1739].",London,389,male,1686,1743,True
0762800202_000015,"Biographia medica; or, historical and critical memoirs of the lives and writings of the most eminent medical characters that have Existed from the Earliest Account of Time to the Present Period; with a catalogue of their literary productions. By Benjamin Hutchinson, Member of the Medical Society of London, of the Physical Society of Guy's Hospital, and of the London Company of Surgeons. In Two Volumes. ...",Benjamin Hutchinson,49,1799,2,2,"London : printed for J. Johnson, No 72, St. Paul's Church-Yard, 1799.",London,549,unknown,,1804,False
