PassageID,Title,Author,Total termFreq,Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors
0217701400_000002,A vindication of the rights of woman: with strictures on political and moral subjects. By Mary Wollstonecraft.,Mary Wollstonecraft,37,1793,1,1,"Dublin : printed by J. Stockdale, for James Moore, No. 45, College-Green, 1793.",Dublin,269,female,1759,1797,True
1269100800_000008,"Letters on the improvement of the mind, addressed to a young lady. By Mrs. Chapone.",Hester Chapone,40,1786,1,1,"London : printed for J. Walter , Charing-Cross ; and C. Dilly, in the Poultry, M.DCC.LXXXVI. [1786].",London,255,female,1727,1801,True
0346301204_000014,A series of genuine letters between Henry and Frances.,Elizabeth Griffith,38,1770,4,4,"London : [s.n.], Printed in the Year MDCCLXX. [1770].",London,266,female,1720,1793,True
0013800102_000025,A tale of the times. By the author of A gossip's story. Dedicated by permission to Mrs. Carter. In three volumes. ...,Jane West,39,1799,2,3,"London : printed for T. N. Longman and O. Rees, Paternoster-Row, 1799.",London,314,female,1758,1852,False
0343200102_000007,"Religion considered as the only basis of happiness, and of true philosophy. A work written for the instruction of the children of his Most Serene Highness the Duke of Orleans; And in which the Principles of modern pretended Philosophers are laid open and refuted. By Madame the Marchioness of Sillery, heretofore countess of genlis. In two volumes. ...",Stéphanie Félicité du Crest de Saint-Aubin,42,1787,2,2,"London : printed for T. Payne and Son, at the Mews Gate; T. Cadell, and P. Elmsly, in the Strand, M.DCC.LXXXVII. [1787].",London,295,female,1746,1830,True
0414500301_000034,Strictures on the modern system of female education. With a view of the principles and conduct prevalent among women of rank and fortune. By Hannah More. In two volumes. ...,Hannah More,41,1799,1,2,"London : printed for T. Cadell Jun. and W. Davies in the Strand, 1799.",London,310,female,1745,1833,True
0186200300_000003,An historical and moral view of the origin and progress of the French revolution; and the effect it has produced in Europe. By Mary Wollstonecraft. Volume the first.,Mary Wollstonecraft,36,1794,1,1,"London : printed for J. Johnson, in St. Paul's Church-Yard, 1794.",London,534,female,1759,1797,True
0206700104_000010,The female Spectator. |...,Eliza Haywood,36,1748,4,4,"London : printed and published by T. Gardner, at Cowley's-Head, opposite St. Clement's Church in the Stárand, M,DCC,XLVIII. [1748].",London,328,female,1693,1756,True
0343200102_000049,"Religion considered as the only basis of happiness, and of true philosophy. A work written for the instruction of the children of his Most Serene Highness the Duke of Orleans; And in which the Principles of modern pretended Philosophers are laid open and refuted. By Madame the Marchioness of Sillery, heretofore countess of genlis. In two volumes. ...",Stéphanie Félicité du Crest de Saint-Aubin,42,1787,2,2,"London : printed for T. Payne and Son, at the Mews Gate; T. Cadell, and P. Elmsly, in the Strand, M.DCC.LXXXVII. [1787].",London,295,female,1746,1830,True
0431500202_000044,"The world unmask'd: or, the Philosopher the greatest Cheat; in twenty-four dialogues. To which is added, The state of souls separated from their Bodies; Being an Epistolary Treatise, wherein is proved, by a Variety of Arguments, deduced from Holy Scripture, that the Punishments of the Wicked will not be Eternal; and all Objections against it solved. To which is prefix'd, A Large Introduction, evincing the same Truth from the Principles of Natural Religion. Translated from the French.",Marie Huber,48,1743,2,2,"London : printed for A. Millar, opposite to Katharine-Street in the Strand, M.DCC.XLIII. [1743].",London,300,female,1695,1753,False
0063001100_000013,"Botanical dialogues, between Hortensia and her four children, Charles, Harriet, Juliette and Henry. Designed for the use of schools, by a lady.","Jackson, Maria Elizabeth",54,1797,1,1,"London : printed for J. Johnson, in St. Paul's Church-Yard, 1797.",London,404,female,,,False
0631600600_000021,An estimate of the religion of the fashionable world. By Hannah More.,Hannah More,40,1793,1,1,"London : printed for T. Cadel, in the Strand, 1793.",London,269,female,1745,1833,True
0416000800_000010,"Female restoration, by a moral and physical vindication of female talents; in opposition to all dogmatical assertions relative to disparity in the sexes. Dedicated to her Majesty; and humbly addressed to the ladies of Great Britain and Ireland. By a lady.",Lady,53,1780,1,1,"London : sold only at Free-Masons coffee-house, Great Queen-Street, Lincoln's-Inn-Fields; and J. Macgowan's, No. 27, Paternoster-Row, M,DCC,LXXX. [1780].",London,71,female,,,False
0865100501_000071,"La belle assemblée: or, the adventures of six days. Being a curious collection of remarkable incidents which happen'd to some of the first quality in France. Written in French ... by Madam de Gomez. Translated into English. Compleat, in two volumes. ...",Madeleine Angélique Poisson Gomez,39,1727,1,2,"London : printed for D. Browne; S. Chapman; and Weaver Bickerton, 1727.",London,385,female,1684,1770,False
0653400100_000003,"Mentoria: or, the young ladies instructor, in familiar conversations on moral and entertaining subjects: Calculated to improve Young Minds In the Essential, as well as Ornamental Parts of Female Education. By Ann Murry.","Murry, Ann",36,1782,1,1,"London : printed by Frys, Couchman, and Collier, for Charles Dilly, in the Poultry, M.DCC.LXXXII. [1782].",London,295,female,,,False
1342900100_000004,"Rudiments of taste. In a series of letters, from a mother to her daughters. By the Author of the life of Jacob.","Peddle, M, Mrs",34,1790,1,1,"Dublin : Printed for H. Chamberlaine, P. Byrne, J. Moore, J. Jones, Grueber and M'Allister, and W. Jones, MDCCXC. [1790].",Dublin,70,female,,,False
0634301500_000012,An estimate of the religion of the fashionable world. By one of the laity.,Hannah More,31,1791,1,1,"London : printed for T. Cadell, in the Strand, M.DCC.XCI. [1791].",London,268,female,1745,1833,True
0403500100_000012,An estimate of the religion of the fashionable world. By one of the laity.,Hannah More,31,1791,1,1,"London : printed for T. Cadell, in the Strand, M.DCC.XCI. [1791].",London,269,female,1745,1833,True
0031801000_000084,"The world unmask'd: or, the Philosopher the greatest Cheat; in twenty-four dialogues Between Crito a Philosopher, Philo a Lawyer, and Erastus a Merchant. In which True Virtue is distinguished from what usually bears the Name or Resemblance of it: The many Prejudices and Mistakes in Judgment and Practice, in regard to conscience and religion, are examined and rectified: And the Value of truth is shewn; with the Reasons why it is not more generally known. To which is added, The state of Souls separated from their Bodies: Being an Epistolary Treatise, wherein is proved, by a Variety of Arguments, deduced from Holy Scripture, that the Punishments of the Wicked will not be Eternal; and all Objections against it solved. In Answer to a Treatise, entitled, An Enquiry into Origenism. Together with A Large Introduction, evincing the same Truth from the Principles of Natural Religion. Translated from the French.",Marie Huber,55,1736,1,1,"London : printed for A. Millar, over-against St. Clement's Church in the Strand, MDCCXXXVI. [1736].",London,455,female,1695,1753,False
0343200202_000038,"Religion considered as the only basis of happiness and of true philosophy. A work written for the instruction of the children of his most serene highness the Duke of Orleans; ... By Madame the Marchioness of Sillery, ... In two volumes.",Stéphanie Félicité du Crest de Saint-Aubin,33,1787,2,2,"Dublin : printed by William Porter, for H. Chamberlaine, White, Byrne, Colbert, W. Porter, and Moore, 1787.",Dublin,151,female,1746,1830,True
1427400102_000015,"Letters on the improvement of the mind, addressed to a young lady. In two volumes. By Mrs. Chapone.",Hester Chapone,39,1787,2,2,"London : printed for J. Walter, Charing-Cross; and C. Dilly, in the Poultry, MDCCLXXXVII. [1787].",London,235,female,1727,1801,True
1240500300_000035,"The works of Mrs. Chapone, containing letters on the improvement of the mind, addressed to a young lady: and Miscellanies in prose and verse. In two volumes. ...",Hester Chapone,36,1786,1,1,"Dublin : printed by Brett Smith, for W. Colles, No. 17, Dame-Street, MDCCLXXXVI. [1786].",Dublin,255,female,1727,1801,True
0206700103_000039,The female Spectator. |...,Eliza Haywood,37,1748,3,4,"London : printed and published by T. Gardner, at Cowley's-Head, opposite St. Clement's Church in the Stárand, M,DCC,XLVIII. [1748].",London,334,female,1693,1756,True
1445201000_000040,"A plan for the conduct of female education, in boarding schools, private families, and public seminaries. By Erasmus Darwin, M.D. F.R.S. author of Zoonomia, and of The botanic garden. To which are added, Rudiments of taste, in a series of letters from a mother to her daughters. Embellished with an elegant frontispiece.",Erasmus Darwin,46,1798,1,1,"Philadelphia: : Printed by John Ormrod, no. 41, Chesnut-Street, 1798.",Philadelphia,303,female,1731,1802,True
0343200102_000029,"Religion considered as the only basis of happiness, and of true philosophy. A work written for the instruction of the children of his Most Serene Highness the Duke of Orleans; And in which the Principles of modern pretended Philosophers are laid open and refuted. By Madame the Marchioness of Sillery, heretofore countess of genlis. In two volumes. ...",Stéphanie Félicité du Crest de Saint-Aubin,45,1787,2,2,"London : printed for T. Payne and Son, at the Mews Gate; T. Cadell, and P. Elmsly, in the Strand, M.DCC.LXXXVII. [1787].",London,295,female,1746,1830,True
0414500400_000034,Strictures on the modern system of female education. With a view of the principles and conduct prevalent among women of rank and fortune. By Hannah More.,Hannah More,47,1800,1,1,"Dublin : printed by William Porter, for Pat. Wogan, Old-Bridge, and William Porter, Grafton-Street, 1800.",Dublin,460,female,1745,1833,True
