PassageID,Title,Author,Total termFreq,Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors
1546300301_000011,Essays on various subjects. By the author of reflections on the seven days of the week. Vol. I.,Catherine Talbot,8,1773,1,1,"Dublin : Printed for J. Milliken, College-Green, M,DCC,LXXIII. [1773].",Dublin,246,female,1721,1770,False
0483700100_000001,"Letters of the Right Honourable Lady M--y W--y M---e: written during her travels in Europe, Asia, and Africa, To Persons of Distinction, Men of Letters, &c. in different Parts of Europe. Which Contain Among Other Curious Relations, Accounts of the Policy and Manners of the Turks; Drawn from Sources that have been inaccessable to other Travellers.",Lady Mary Wortley Montagu,7,1794,1,1,"London : printed for the booksellers, M.DCCXCIV. [1794].",London,283,female,1689,1762,True
1388200200_000001,"Vancenza; or, The dangers of credulity. By Mrs. M. Robinson, authoress of the poems of Laura Maria, Ainsi Va le Monde, &c.",Mary Robinson,7,1792,1,1,"Dublin : Printed for Messrs. P. Wogan, P. Byrne, A. Grueber, J. Moore, J. Jones, W. Jones, R. M'allister, R. White, 1792.",Dublin,289,female,1758,1800,True
0027900301_000001,"Vancenza; or, the dangers of credulity. In two volumes. By Mrs. M. Robinson, Authoress of the Poems of Laura Maria, Ainsi va le Monde, &c. &c. ...",Mary Robinson,7,1792,1,2,"London : printed for the authoress; and sold by Mr. Bell, at the British Library, Strand, MDCCXCII. [1792].",London,168,female,1758,1800,True
1336000302_000018,"Emmeline, the orphan of the castle. By Charlotte Smith. In two volumes.",Charlotte Turner Smith,7,1789,2,2,"Dublin : printed by William Porter, for L. White, P. Wogan, P. Byrne, J. Jones, and J. Moore, M,DCC,LXXXIX. [1789].",Dublin,361,female,1749,1806,True
0134002300_000033,Poems on several occasions. With Anne Boleyn to King Henry Viii. An epistle. By Mrs. Elizabeth Tollet.,Elizabeth Tollet,8,1756,1,1,"London : printed for T. Lownds, in Fleet Street, [1756?].",London,249,female,1694,1754,False
0381500603_000003,"Tales of the castle: or, stories of instruction and delight. Being Les veillées du chateau, written in French by Madame la comtesse de Genlis, Author of the Theatre of Education, Adela and Theodore, &c. Translated into English by Thomas Holcroft. ...",Stéphanie Félicité du Crest de Saint-Aubin,7,1785,3,5,"London : printed for G. Robinson, No 25, Pater-Noster-Row, MDCCLXXXV. [1785].",London,320,female,1746,1830,True
0793800201_000033,A sicilian romance. By the authoress of the castles of Athlin and Dunbayne. In two volumes. ...,Ann Radcliffe,8,1790,1,2,"London : printed for T. Hookham, New Bond-Street, MDCCLXC [1790].",London,241,female,1764,1823,True
0437400600_000026,"Tales of the cottage; or stories, moral and amusing, for young persons. Written on the plan of that celebrated work Les veillées du château, by Madame la Comptesse de Genlis.",Mary Pilkington,7,1798,1,1,"London : printed for Vernor and Hood, in the Poultry ; and sold by E. Newbery, Corner of St. Paul's Church-Yard, 1798.",London,229,female,1766,1839,True
0274300500_000038,Poems on several occasions. By the Lady Chudleigh.,Lady Mary Chudleigh,6,1722,1,1,"London : printed for Bernard Lintot, at the Cross-Keys between the Temple-Gates, MDCCXXII. [1722].",London,283,female,1656,1710,False
0326900902_000014,"Letters on the improvement of the mind, addressed to a young lady. In two volumes. By Mrs. Chapone.",Hester Chapone,8,1775,2,2,"London : printed for J. Walter; and E. and C. Dilly, 1775.",London,234,female,1727,1801,True
0325100102_000014,"Letters on the improvement of the mind, addressed to a young lady. In two volumes. By Mrs. Chapone. ...",Hester Chapone,8,1778,2,2,"London : printed for J. Walter, at Homer's Head, Charing Cross; and E. and C. Dilly, in the Poultry, MDCCLXXVIII. [1778].",London,231,female,1727,1801,True
0387400202_000015,"Rosella, or modern occurrences. A novel. In four volumes. By Mary Charlton, ...",Mary Charlton,7,1799,2,4,"London : printed at the Minerva-Press, for William Lane, 1799.",London,298,female,1770,1830,False
1335700402_000020,Essays on various subjects. To which are added reflections on the seven days of the week. By Mrs. Talbot.,Catherine Talbot,11,1773,2,2,"Dublin : printed for J. Milliken, College-Green, M,DCC,LXXIII. [1773].",Dublin,121,female,1721,1770,False
1749800100_000017,"Friendship in death: in twenty letters from the dead to the living. To which are added, letters moral and entertaining, in prose and verse. In three parts. By Mrs. Elizabeth Rowe.",Elizabeth Rowe,10,1740,1,1,"London : printed for Henry Lintot, 1740.",London,491,female,1674,1737,False
0786800802_000016,"Adelaide and Theodore; or, letters on education: containing All the Principles relative to three different Plans of Education; to that of Princes, and to those of young Persons of both Sexes. Translated from the French of Madame la Comtesse de Genlis. ...",Stéphanie Félicité du Crest de Saint-Aubin,7,1785,2,3,"Dublin : printed for Luke White, No. 86, Dame-Street, M.DCCLXXXV. [1785].",Dublin,294,female,1746,1830,True
0936800201_000056,"Adelaide and Theodore; or, letters on education: containing all the principles relative to three different plans of education; to that of princes, and to those of young persons of both sexes. Translated from the French of Madame la Comtesse de Genlis.",Stéphanie Félicité du Crest de Saint-Aubin,7,1796,1,3,"London : printed for T. Cadell, jun. and W. Davies, (successors to Mr. Cadell) in the Strand, 1796.",London,291,female,1746,1830,True
